age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59.0,Admin,Married,Secondary,No,2343.0,Yes,No,Cellular,5,May,1033.0,1,-1,0,New_customer,1
56.0,Admin,Married,Secondary,No,45.0,No,No,Cellular,5,May,1033.0,1,-1,0,New_customer,1
41.0,Technician,Married,Secondary,No,1270.0,Yes,No,Cellular,5,May,1033.0,1,-1,0,New_customer,1
55.0,Services,Married,Secondary,No,2476.0,Yes,No,Cellular,5,May,579.0,1,-1,0,New_customer,1
54.0,Admin,Married,Tertiary,No,184.0,No,No,Cellular,5,May,673.0,2,-1,0,New_customer,1
42.0,Management,Single,Tertiary,No,0.0,Yes,Yes,Cellular,5,May,562.0,2,-1,0,New_customer,1
56.0,Management,Married,Tertiary,No,830.0,Yes,Yes,Cellular,6,May,1033.0,1,-1,0,New_customer,1
60.0,Retired,Divorced,Secondary,No,545.0,Yes,No,Cellular,6,May,1030.0,1,-1,0,New_customer,1
37.0,Technician,Married,Secondary,No,1.0,Yes,No,Cellular,6,May,608.0,1,-1,0,New_customer,1
28.0,Services,Single,Secondary,No,4087.0,Yes,No,Cellular,6,May,1033.0,3,-1,0,New_customer,1
38.0,Admin,Single,Secondary,No,100.0,Yes,No,Cellular,7,May,786.0,1,-1,0,New_customer,1
30.0,Blue-Collar,Married,Secondary,No,309.0,Yes,No,Cellular,7,May,1033.0,2,-1,0,New_customer,1
29.0,Management,Married,Tertiary,No,199.0,Yes,Yes,Cellular,7,May,1033.0,4,-1,0,New_customer,1
46.0,Blue-Collar,Single,Tertiary,No,460.0,Yes,No,Cellular,7,May,1033.0,2,-1,0,New_customer,1
31.0,Technician,Single,Tertiary,No,703.0,Yes,No,Cellular,8,May,943.0,2,-1,0,New_customer,1
35.0,Management,Divorced,Tertiary,No,3837.0,Yes,No,Cellular,8,May,1033.0,1,-1,0,New_customer,1
32.0,Blue-Collar,Single,Primary,No,611.0,Yes,No,Cellular,8,May,541.0,3,-1,0,New_customer,1
49.0,Services,Married,Secondary,No,-8.0,Yes,No,Cellular,8,May,1033.0,1,-1,0,New_customer,1
41.0,Admin,Married,Secondary,No,55.0,Yes,No,Cellular,8,May,1033.0,2,-1,0,New_customer,1
49.0,Admin,Divorced,Secondary,No,168.0,Yes,Yes,Cellular,8,May,513.0,1,-1,0,New_customer,1
28.0,Admin,Divorced,Secondary,No,785.0,Yes,No,Cellular,8,May,442.0,2,-1,0,New_customer,1
43.0,Management,Single,Tertiary,No,2067.0,Yes,No,Cellular,8,May,756.0,1,-1,0,New_customer,1
43.0,Management,Divorced,Tertiary,No,388.0,Yes,No,Cellular,8,May,1033.0,2,-1,0,New_customer,1
43.0,Blue-Collar,Married,Primary,No,-192.0,Yes,No,Cellular,8,May,1033.0,2,-1,0,New_customer,1
37.0,Unemployed,Single,Secondary,No,381.0,Yes,No,Cellular,8,May,985.0,2,-1,0,New_customer,1
35.0,Blue-Collar,Single,Secondary,No,40.0,Yes,No,Cellular,9,May,617.0,4,-1,0,New_customer,1
31.0,Technician,Single,Tertiary,No,22.0,Yes,No,Cellular,9,May,483.0,3,-1,0,New_customer,1
43.0,Blue-Collar,Single,Secondary,No,3.0,Yes,No,Cellular,9,May,929.0,3,-1,0,New_customer,1
31.0,Admin,Married,Secondary,No,307.0,Yes,No,Cellular,9,May,538.0,1,-1,0,New_customer,1
28.0,Blue-Collar,Single,Secondary,No,759.0,Yes,No,Cellular,9,May,710.0,1,-1,0,New_customer,1
32.0,Blue-Collar,Married,Secondary,Yes,-1.0,Yes,No,Cellular,9,May,653.0,1,-1,0,New_customer,1
60.0,Technician,Married,Primary,No,65.0,Yes,No,Cellular,9,May,1028.0,2,-1,0,New_customer,1
26.0,Blue-Collar,Single,Secondary,No,82.0,Yes,No,Cellular,9,May,654.0,1,-1,0,New_customer,1
40.0,Blue-Collar,Married,Secondary,No,10.0,Yes,No,Cellular,9,May,1033.0,2,-1,0,New_customer,1
33.0,Blue-Collar,Divorced,Primary,No,390.0,Yes,No,Cellular,9,May,665.0,2,-1,0,New_customer,1
32.0,Management,Single,Tertiary,No,311.0,No,No,Cellular,12,May,757.0,2,-1,0,New_customer,1
35.0,Blue-Collar,Married,Primary,No,414.0,No,No,Cellular,13,May,504.0,4,-1,0,New_customer,1
33.0,Management,Divorced,Secondary,No,5.0,Yes,No,Cellular,13,May,1033.0,1,-1,0,New_customer,1
38.0,Management,Married,Tertiary,No,119.0,Yes,No,Cellular,13,May,568.0,4,-1,0,New_customer,1
23.0,Entrepreneur,Single,Primary,No,4.0,Yes,No,Cellular,13,May,395.0,2,-1,0,New_customer,1
60.0,Blue-Collar,Married,Primary,No,1262.0,Yes,Yes,Cellular,13,May,1015.0,1,-1,0,New_customer,1
48.0,Management,Married,Tertiary,No,1949.0,Yes,No,Cellular,13,May,683.0,2,-1,0,New_customer,1
45.0,Entrepreneur,Divorced,Tertiary,No,-395.0,Yes,No,Cellular,13,May,470.0,1,-1,0,New_customer,1
36.0,Blue-Collar,Married,Secondary,No,1165.0,Yes,No,Cellular,13,May,1001.0,4,-1,0,New_customer,1
52.0,Management,Married,Tertiary,No,2240.0,Yes,No,Cellular,13,May,845.0,1,-1,0,New_customer,1
35.0,Blue-Collar,Divorced,Primary,No,300.0,Yes,No,Cellular,13,May,945.0,2,-1,0,New_customer,1
43.0,Technician,Married,Secondary,No,3285.0,Yes,No,Cellular,13,May,1033.0,2,-1,0,New_customer,1
52.0,Housemaid,Married,Secondary,No,3923.0,Yes,No,Cellular,14,May,942.0,3,-1,0,New_customer,1
53.0,Technician,Divorced,Primary,No,1443.0,Yes,No,Cellular,14,May,476.0,1,-1,0,New_customer,1
48.0,Blue-Collar,Divorced,Primary,No,24.0,Yes,No,Cellular,14,May,832.0,1,-1,0,New_customer,1
41.0,Blue-Collar,Single,Primary,No,1618.0,Yes,No,Cellular,14,May,1033.0,1,-1,0,New_customer,1
39.0,Management,Divorced,Tertiary,No,517.0,Yes,Yes,Cellular,14,May,1033.0,1,-1,0,New_customer,1
59.0,Retired,Married,Secondary,No,1521.0,Yes,Yes,Cellular,14,May,1033.0,2,-1,0,New_customer,1
41.0,Blue-Collar,Married,Secondary,No,2823.0,Yes,No,Cellular,14,May,858.0,1,-1,0,New_customer,1
48.0,Blue-Collar,Married,Secondary,No,1405.0,Yes,No,Cellular,14,May,629.0,2,-1,0,New_customer,1
40.0,Admin,Married,Secondary,No,1535.0,Yes,No,Cellular,14,May,704.0,1,-1,0,New_customer,1
48.0,Blue-Collar,Married,Secondary,No,1596.0,Yes,No,Cellular,14,May,760.0,1,-1,0,New_customer,1
60.0,Retired,Married,Primary,No,1542.0,Yes,No,Cellular,14,May,930.0,1,-1,0,New_customer,1
40.0,Technician,Single,Secondary,No,3652.0,Yes,No,Cellular,14,May,1028.0,2,-1,0,New_customer,1
57.0,Technician,Married,Tertiary,No,-1.0,No,No,Cellular,14,May,850.0,2,-1,0,New_customer,1
51.0,Blue-Collar,Married,Secondary,No,4087.0,Yes,No,Cellular,14,May,927.0,1,-1,0,New_customer,1
41.0,Blue-Collar,Divorced,Secondary,No,4087.0,Yes,No,Cellular,14,May,1033.0,3,-1,0,New_customer,1
41.0,Blue-Collar,Married,Secondary,No,1384.0,Yes,No,Cellular,15,May,1033.0,4,-1,0,New_customer,1
52.0,Blue-Collar,Divorced,Primary,No,-191.0,Yes,No,Cellular,15,May,755.0,1,-1,0,New_customer,1
59.0,Blue-Collar,Married,Primary,No,320.0,Yes,No,Cellular,15,May,695.0,1,-1,0,New_customer,1
44.0,Blue-Collar,Married,Secondary,No,146.0,Yes,No,Cellular,15,May,483.0,1,-1,0,New_customer,1
49.0,Blue-Collar,Married,Primary,No,341.0,Yes,Yes,Cellular,15,May,520.0,2,-1,0,New_customer,1
40.0,Services,Married,Primary,No,-9.0,Yes,No,Cellular,15,May,920.0,2,-1,0,New_customer,1
41.0,Admin,Married,Primary,No,-306.0,Yes,No,Cellular,15,May,500.0,1,-1,0,New_customer,1
44.0,Technician,Married,Tertiary,No,4087.0,Yes,No,Cellular,15,May,911.0,2,-1,0,New_customer,1
60.0,Services,Single,Primary,No,313.0,Yes,No,Cellular,15,May,920.0,2,-1,0,New_customer,1
29.0,Management,Married,Tertiary,No,4087.0,No,No,Cellular,15,May,1033.0,2,-1,0,New_customer,1
41.0,Retired,Divorced,Primary,No,-233.0,Yes,No,Cellular,15,May,1033.0,2,-1,0,New_customer,1
41.0,Blue-Collar,Married,Primary,No,2453.0,Yes,No,Cellular,15,May,1033.0,1,-1,0,New_customer,1
42.0,Technician,Single,Secondary,No,1364.0,Yes,No,Cellular,15,May,1033.0,6,-1,0,New_customer,1
36.0,Services,Single,Secondary,No,281.0,Yes,No,Cellular,16,May,515.0,1,-1,0,New_customer,1
39.0,Technician,Married,Tertiary,No,94.0,Yes,Yes,Cellular,16,May,813.0,1,-1,0,New_customer,1
31.0,Self-Employed,Single,Tertiary,No,144.0,Yes,No,Cellular,16,May,676.0,1,-1,0,New_customer,1
26.0,Blue-Collar,Married,Secondary,No,246.0,Yes,No,Cellular,16,May,1033.0,3,-1,0,New_customer,1
31.0,Blue-Collar,Married,Secondary,No,92.0,Yes,No,Cellular,16,May,688.0,1,-1,0,New_customer,1
29.0,Admin,Single,Secondary,No,163.0,Yes,Yes,Cellular,16,May,803.0,1,-1,0,New_customer,1
37.0,Services,Divorced,Secondary,No,49.0,Yes,No,Cellular,16,May,619.0,2,-1,0,New_customer,1
33.0,Blue-Collar,Single,Secondary,No,-416.0,Yes,No,Cellular,16,May,767.0,2,-1,0,New_customer,1
24.0,Technician,Single,Secondary,No,409.0,Yes,No,Cellular,16,May,912.0,1,-1,0,New_customer,1
50.0,Admin,Divorced,Secondary,No,363.0,Yes,No,Cellular,16,May,1033.0,1,-1,0,New_customer,1
27.0,Technician,Single,Tertiary,No,3706.0,Yes,No,Cellular,16,May,897.0,1,-1,0,New_customer,1
54.0,Management,Single,Tertiary,No,4087.0,Yes,No,Cellular,16,May,1033.0,3,-1,0,New_customer,1
30.0,Technician,Single,Secondary,No,863.0,Yes,No,Cellular,16,May,1033.0,5,-1,0,New_customer,1
34.0,Blue-Collar,Married,Primary,No,695.0,Yes,Yes,Cellular,16,May,1033.0,4,-1,0,New_customer,1
37.0,Management,Single,Secondary,No,792.0,Yes,No,Cellular,16,May,1033.0,4,-1,0,New_customer,1
41.0,Admin,Single,Secondary,No,1020.0,Yes,No,Cellular,19,May,882.0,1,-1,0,New_customer,1
47.0,Blue-Collar,Married,Secondary,No,863.0,Yes,No,Cellular,19,May,943.0,2,-1,0,New_customer,1
31.0,Admin,Married,Secondary,No,97.0,Yes,No,Cellular,19,May,607.0,1,-1,0,New_customer,1
31.0,Blue-Collar,Married,Secondary,No,754.0,Yes,No,Cellular,19,May,1022.0,4,-1,0,New_customer,1
43.0,Services,Divorced,Secondary,No,1040.0,Yes,No,Cellular,19,May,552.0,3,-1,0,New_customer,1
37.0,Management,Divorced,Tertiary,No,122.0,Yes,No,Cellular,19,May,1033.0,2,-1,0,New_customer,1
30.0,Technician,Single,Tertiary,No,880.0,Yes,Yes,Cellular,19,May,967.0,6,-1,0,New_customer,1
41.0,Technician,Married,Secondary,No,501.0,Yes,No,Cellular,19,May,579.0,5,-1,0,New_customer,1
36.0,Blue-Collar,Married,Secondary,No,4087.0,Yes,No,Cellular,20,May,446.0,1,-1,0,New_customer,1
35.0,Blue-Collar,Divorced,Secondary,No,0.0,Yes,No,Cellular,20,May,1033.0,1,-1,0,New_customer,1
29.0,Services,Single,Secondary,No,271.0,Yes,No,Cellular,20,May,1033.0,2,-1,0,New_customer,1
35.0,Blue-Collar,Married,Primary,No,102.0,Yes,No,Cellular,20,May,1033.0,1,-1,0,New_customer,1
31.0,Blue-Collar,Married,Secondary,No,2.0,Yes,No,Cellular,20,May,182.0,2,-1,0,New_customer,1
35.0,Services,Married,Secondary,No,4087.0,Yes,No,Cellular,20,May,1033.0,1,-1,0,New_customer,1
34.0,Technician,Single,Secondary,No,85.0,Yes,No,Cellular,20,May,1033.0,4,-1,0,New_customer,1
31.0,Admin,Single,Secondary,No,431.0,Yes,Yes,Cellular,20,May,1033.0,1,-1,0,New_customer,1
44.0,Technician,Divorced,Secondary,No,982.0,Yes,No,Cellular,20,May,650.0,3,-1,0,New_customer,1
36.0,Blue-Collar,Married,Primary,No,408.0,Yes,Yes,Cellular,20,May,1033.0,2,-1,0,New_customer,1
35.0,Blue-Collar,Married,Secondary,No,4087.0,Yes,No,Cellular,20,May,843.0,2,-1,0,New_customer,1
41.0,Blue-Collar,Married,Primary,No,1250.0,Yes,No,Cellular,20,May,1033.0,2,-1,0,New_customer,1
31.0,Blue-Collar,Single,Primary,No,216.0,Yes,No,Cellular,21,May,565.0,1,-1,0,New_customer,1
34.0,Blue-Collar,Married,Secondary,No,1207.0,Yes,No,Cellular,21,May,905.0,1,-1,0,New_customer,1
32.0,Technician,Married,Secondary,No,791.0,Yes,No,Cellular,21,May,783.0,2,-1,0,New_customer,1
36.0,Management,Married,Tertiary,No,849.0,Yes,Yes,Cellular,21,May,958.0,2,-1,0,New_customer,1
30.0,Blue-Collar,Single,Secondary,Yes,239.0,Yes,No,Cellular,21,May,412.0,1,-1,0,New_customer,1
37.0,Technician,Single,Secondary,No,1211.0,Yes,No,Cellular,21,May,795.0,1,-1,0,New_customer,1
36.0,Blue-Collar,Married,Primary,No,599.0,Yes,No,Cellular,21,May,649.0,2,-1,0,New_customer,1
31.0,Management,Single,Tertiary,No,825.0,Yes,No,Cellular,21,May,506.0,2,-1,0,New_customer,1
27.0,Technician,Married,Secondary,No,2183.0,Yes,Yes,Cellular,21,May,857.0,1,-1,0,New_customer,1
34.0,Retired,Married,Primary,No,4087.0,No,No,Cellular,21,May,1033.0,1,-1,0,New_customer,1
30.0,Technician,Single,Tertiary,No,1289.0,Yes,No,Cellular,21,May,1033.0,2,-1,0,New_customer,1
32.0,Technician,Single,Tertiary,No,4087.0,Yes,No,Cellular,21,May,860.0,2,-1,0,New_customer,1
37.0,Technician,Single,Secondary,No,3326.0,Yes,No,Cellular,21,May,799.0,1,-1,0,New_customer,1
32.0,Blue-Collar,Married,Secondary,No,783.0,Yes,No,Cellular,21,May,923.0,3,-1,0,New_customer,1
33.0,Blue-Collar,Married,Secondary,No,0.0,Yes,No,Cellular,21,May,521.0,3,-1,0,New_customer,1
35.0,Blue-Collar,Married,Primary,No,994.0,Yes,No,Cellular,23,May,1033.0,6,-1,0,New_customer,1
35.0,Self-Employed,Divorced,Tertiary,No,1354.0,Yes,No,Cellular,23,May,736.0,2,-1,0,New_customer,1
30.0,Blue-Collar,Single,Secondary,No,239.0,Yes,No,Cellular,23,May,785.0,1,-1,0,New_customer,1
45.0,Blue-Collar,Divorced,Primary,No,-311.0,Yes,No,Cellular,23,May,1030.0,1,-1,0,New_customer,1
45.0,Admin,Married,Secondary,No,149.0,Yes,No,Cellular,23,May,893.0,3,-1,0,New_customer,1
33.0,Blue-Collar,Married,Secondary,No,1464.0,Yes,No,Cellular,23,May,588.0,3,-1,0,New_customer,1
44.0,Management,Divorced,Tertiary,No,4087.0,No,No,Cellular,23,May,597.0,6,-1,0,New_customer,1
40.0,Blue-Collar,Married,Primary,No,278.0,Yes,No,Cellular,23,May,1015.0,3,-1,0,New_customer,1
31.0,Blue-Collar,Married,Secondary,No,2910.0,Yes,No,Cellular,23,May,1033.0,2,-1,0,New_customer,1
30.0,Technician,Married,Tertiary,No,541.0,Yes,No,Cellular,26,May,414.0,2,-1,0,New_customer,1
44.0,Technician,Divorced,Secondary,No,1262.0,Yes,No,Cellular,26,May,788.0,6,-1,0,New_customer,1
34.0,Services,Married,Secondary,No,-538.0,Yes,No,Cellular,26,May,682.0,1,-1,0,New_customer,1
37.0,Blue-Collar,Married,Secondary,No,125.0,No,No,Cellular,26,May,679.0,2,-1,0,New_customer,1
28.0,Self-Employed,Single,Tertiary,No,0.0,Yes,No,Cellular,26,May,1033.0,2,-1,0,New_customer,1
32.0,Admin,Single,Secondary,No,620.0,Yes,No,Cellular,26,May,1033.0,3,-1,0,New_customer,1
37.0,Blue-Collar,Divorced,Secondary,No,316.0,Yes,No,Cellular,26,May,642.0,2,-1,0,New_customer,1
34.0,Management,Married,Tertiary,No,2287.0,Yes,No,Cellular,26,May,895.0,4,-1,0,New_customer,1
38.0,Admin,Divorced,Secondary,No,198.0,Yes,No,Cellular,26,May,431.0,2,-1,0,New_customer,1
28.0,Admin,Single,Secondary,No,460.0,Yes,No,Cellular,26,May,741.0,6,-1,0,New_customer,1
31.0,Management,Divorced,Tertiary,No,1145.0,Yes,No,Cellular,26,May,1033.0,4,-1,0,New_customer,1
59.0,Services,Married,Secondary,No,-22.0,Yes,No,Cellular,26,May,748.0,3,-1,0,New_customer,1
24.0,Blue-Collar,Married,Secondary,No,685.0,Yes,No,Cellular,26,May,896.0,3,-1,0,New_customer,1
26.0,Services,Single,Secondary,No,901.0,Yes,No,Cellular,26,May,764.0,2,-1,0,New_customer,1
59.0,Retired,Single,Secondary,No,351.0,Yes,No,Cellular,27,May,1033.0,5,-1,0,New_customer,1
30.0,Entrepreneur,Single,Primary,No,0.0,Yes,Yes,Cellular,27,May,1033.0,1,-1,0,New_customer,1
37.0,Admin,Married,Secondary,No,274.0,Yes,No,Cellular,27,May,731.0,3,-1,0,New_customer,1
30.0,Admin,Single,Secondary,No,-213.0,Yes,Yes,Cellular,27,May,751.0,1,-1,0,New_customer,1
25.0,Blue-Collar,Married,Secondary,No,97.0,Yes,No,Cellular,27,May,709.0,1,-1,0,New_customer,1
44.0,Services,Divorced,Secondary,No,51.0,Yes,Yes,Cellular,27,May,1033.0,2,-1,0,New_customer,1
29.0,Management,Married,Tertiary,No,314.0,No,No,Cellular,28,May,938.0,2,-1,0,New_customer,1
26.0,Management,Single,Tertiary,No,4087.0,Yes,No,Cellular,28,May,1033.0,2,-1,0,New_customer,1
26.0,Technician,Single,Secondary,No,668.0,Yes,No,Cellular,28,May,576.0,3,-1,0,New_customer,1
27.0,Services,Single,Secondary,No,54.0,Yes,No,Cellular,28,May,543.0,2,-1,0,New_customer,1
25.0,Self-Employed,Single,Secondary,No,1242.0,Yes,No,Cellular,28,May,615.0,2,-1,0,New_customer,1
28.0,Management,Married,Secondary,No,292.0,Yes,No,Cellular,28,May,507.0,1,-1,0,New_customer,1
23.0,Services,Single,Secondary,No,665.0,Yes,No,Cellular,28,May,1033.0,1,-1,0,New_customer,1
34.0,Management,Single,Tertiary,No,1058.0,Yes,No,Cellular,28,May,864.0,2,-1,0,New_customer,1
28.0,Student,Single,Secondary,No,949.0,Yes,No,Cellular,28,May,1033.0,1,-1,0,New_customer,1
51.0,Entrepreneur,Married,Secondary,No,606.0,Yes,No,Cellular,28,May,560.0,6,-1,0,New_customer,1
35.0,Blue-Collar,Married,Secondary,No,0.0,Yes,Yes,Cellular,29,May,543.0,1,-1,0,New_customer,1
35.0,Admin,Married,Secondary,No,404.0,Yes,No,Cellular,29,May,539.0,1,-1,0,New_customer,1
56.0,Blue-Collar,Married,Secondary,No,249.0,Yes,No,Cellular,29,May,791.0,2,-1,0,New_customer,1
45.0,Unemployed,Divorced,Secondary,No,3354.0,Yes,No,Cellular,29,May,746.0,1,-1,0,New_customer,1
60.0,Blue-Collar,Divorced,Secondary,No,0.0,Yes,No,Cellular,29,May,1033.0,1,-1,0,New_customer,1
56.0,Technician,Married,Secondary,No,589.0,Yes,No,Cellular,29,May,535.0,2,-1,0,New_customer,1
27.0,Management,Single,Tertiary,No,4087.0,Yes,No,Cellular,29,May,789.0,3,-1,0,New_customer,1
30.0,Admin,Married,Secondary,No,873.0,Yes,No,Cellular,29,May,792.0,3,-1,0,New_customer,1
45.0,Blue-Collar,Divorced,Primary,No,594.0,Yes,No,Cellular,29,May,833.0,2,-1,0,New_customer,1
29.0,Blue-Collar,Single,Secondary,No,-20.0,Yes,No,Cellular,29,May,814.0,2,-1,0,New_customer,1
38.0,Management,Divorced,Tertiary,No,4087.0,Yes,No,Cellular,29,May,1033.0,2,-1,0,New_customer,1
30.0,Blue-Collar,Married,Secondary,No,486.0,Yes,No,Cellular,29,May,1033.0,3,-1,0,New_customer,1
44.0,Blue-Collar,Single,Primary,No,1593.0,Yes,No,Cellular,29,May,828.0,3,-1,0,New_customer,1
